epoch,phase,kl_div_1_fwd,kl_div_2_fwd,kl_div_total_fwd,entropy_x_fwd,entropy_y_fwd,joint_entropy_fwd,mutual_info_fwd,cond_entropy_x_given_y,cond_entropy_y_given_x,mu_1_fwd,sigma_1_fwd,mu_2_fwd,sigma_2_fwd,kl_div_1_bwd,kl_div_2_bwd,kl_div_total_bwd,mutual_info_bwd,mu_1_bwd,sigma_1_bwd,mu_2_bwd,sigma_2_bwd,corr_x2_to_x1,corr_x1_to_x2,mae_x2_to_x1,mae_x1_to_x2,best_kl_total,best_epoch,current_lr
1,warmup,804.285027827452,0.0016482888876064618,804.2866761163397,5.108649055155092,1.392847240819706,6.50225354870812,-0.0007572527333223888,5.109406307888414,1.3936044935530285,-1.7799270153045654,40.03325653076172,10.044254302978516,0.9742461442947388,0.001648246683869068,623.2192307137973,623.2208789604812,0.006423360881785634,2.044253349304199,0.9742461442947388,18.726360321044922,34.32726287841797,-0.022051976718842323,0.12140027360957711,29.267773,24.904242,inf,0,1.864276568501921e-05
2,warmup,0.0009805464880577944,0.0016482888876064618,0.002628835375664256,1.3872991015387224,1.392847240819706,2.466032495268928,0.3141138470895002,1.073185254449222,1.0787333937302055,1.9992541074752808,0.9688558578491211,10.044254302978516,0.9742461442947388,0.001648246683869068,0.5359565847256808,0.5376048314095498,0.27263393860133966,2.044253349304199,0.9742461442947388,10.169230461120605,1.7914628982543945,0.6837616486736671,0.6492089417712913,0.6034282,1.0089692,713.7537775384104,1,2.7861715749039698e-05
3,warmup,0.004691525802741681,0.0016482888876064618,0.006339814690348142,1.484756930151631,1.392847240819706,2.1711725040559875,0.7064316669153494,0.7783252632362816,0.6864155739043565,1.9819470643997192,1.0680327415466309,10.044254302978516,0.9742461442947388,0.001648246683869068,0.0224095968307102,0.024057843514579267,0.5850374551205815,2.044253349304199,0.9742461442947388,9.94437313079834,1.1477532386779785,0.8700812762833862,0.8308289255829031,0.41702768,0.4764654,0.27011683339260706,2,3.65044814340589e-05
4,warmup,0.0010357823983478953,0.0016482888876064618,0.002684071285954357,1.4474428491846587,1.392847240819706,2.174038881999434,0.6662512080049305,0.781191641179728,0.7265960328147751,1.9796223640441895,1.028914451599121,10.044254302978516,0.9742461442947388,0.001648246683869068,0.18312091071970038,0.18476915740356945,0.29756165765142395,2.044253349304199,0.9742461442947388,9.968634605407715,1.4538556337356567,0.8583187601147181,0.6705280743878517,0.40011707,0.35232246,0.015198829102463705,3,4.572343149807938e-05
5,warmup,0.005921499645492177,0.0016482888876064618,0.007569788533098639,1.3617082055281424,1.392847240819706,1.799668618294445,0.9548868280534033,0.4068213774747391,0.4379604127663026,2.074399709701538,0.944376528263092,10.044254302978516,0.9742461442947388,0.001648246683869068,0.0026178274644842042,0.004266074148353272,0.9182374122819534,2.044253349304199,0.9742461442947388,9.95334529876709,1.0393604040145874,0.9231371283124307,0.9170279854875398,0.29642314,0.19889416,0.015198829102463705,3,5.494238156209988e-05
6,warmup,0.0016760011983616707,0.0016482888876064618,0.0033242900859681325,1.3849780657404613,1.392847240819706,1.5897565318542959,1.1880687747058716,0.19690929103458998,0.20477846611383455,2.0331168174743652,0.9666097164154053,10.044254302978516,0.9742461442947388,0.001648246683869068,0.0004781835876454851,0.0021264302715145534,1.4252028980149278,2.044253349304199,0.9742461442947388,10.030895233154297,1.0009623765945435,0.9525108863068344,0.9707186636150812,0.240432,0.16369414,0.005917931340725956,5,6.358514724711907e-05
7,warmup,0.0015439712453488783,0.0016482888876064618,0.00319226013295534,1.3835893623904512,1.392847240819706,1.3368576736509883,1.4395789295591686,-0.05598956716871761,-0.04673168873946287,1.9745700359344482,0.9652683138847351,10.044254302978516,0.9742461442947388,0.001648246683869068,0.002659244707321734,0.004307491391190802,0.8618248511084574,2.044253349304199,0.9742461442947388,9.987273216247559,1.0511990785598755,0.9715607312711478,0.9066106211975391,0.19517246,0.13598616,0.002725360178741343,6,7.280409731113958e-05
8,warmup,0.006018333530895259,0.0016482888876064618,0.007666622418501721,1.3622184890582785,1.392847240819706,1.2640681988013212,1.4909975310766632,-0.12877904201838475,-0.09815029025695732,2.0764126777648926,0.9448585510253906,10.044254302978516,0.9742461442947388,0.001648246683869068,0.0002840488459221139,0.001932295529791182,2.0463681994948995,2.044253349304199,0.9742461442947388,10.010956764221191,0.9850701093673706,0.9743765857734181,0.9916349525065016,0.16862462,0.101428255,0.002725360178741343,6,8.144686299615877e-05
9,warmup,0.006259246787580941,0.0016482888876064618,0.007907535675187403,1.3664327604564586,1.392847240819706,1.064449095294429,1.6948309059817355,-0.3283981455252769,-0.30198366516202957,2.084810495376587,0.9488488435745239,10.044254302978516,0.9742461442947388,0.001648246683869068,0.00019329585007061417,0.0018415425339396822,2.1036527221614505,2.044253349304199,0.9742461442947388,10.000960350036621,0.9861457943916321,0.9830296672838047,0.9925438687230065,0.13963987,0.096450895,0.002725360178741343,6,9.066581306017926e-05
10,cooperative,0.0020727699441031103,0.0016482888876064618,0.003721058831709572,1.3752164607553845,1.392847240819706,0.8715653391156595,1.8964983624594307,-0.5212819017040464,-0.503651121639725,2.020768880844116,0.9572199583053589,10.044254302978516,0.9742461442947388,0.001648246683869068,0.0023623642452097887,0.004010610929078857,2.2208519254276697,2.044253349304199,0.9742461442947388,10.052095413208008,0.9684613347053528,0.9886946151612717,0.9941064745559747,0.11832457,0.08231358,0.002725360178741343,6,1e-05
11,cooperative,0.07184304846522488,0.0016482888876064618,0.07349133735283134,1.4098099682289926,1.392847240819706,0.9993185512781744,1.803338657770524,-0.39352868954153153,-0.41049141695081826,2.378840923309326,0.9909129738807678,10.044254302978516,0.9742461442947388,0.001648246683869068,0.04954804920894083,0.0511962958928099,1.994590187733388,2.044253349304199,0.9742461442947388,9.690957069396973,0.9579443335533142,0.9863632081031173,0.9907179860711942,0.33577386,0.35329646,0.002725360178741343,6,1e-05
12,cooperative,0.09470217032110415,0.0016482888876064618,0.0963504592087106,1.405638150768973,1.392847240819706,0.8735413711473714,1.9249440204413077,-0.5193058696723345,-0.5320967796216016,2.434803009033203,0.9867876768112183,10.044254302978516,0.9742461442947388,0.001648246683869068,0.08592267602666798,0.08757092271053704,1.8716131466191128,2.044253349304199,0.9742461442947388,9.591588020324707,0.950203001499176,0.9893232151386395,0.9881142350237447,0.39061242,0.45266545,0.002725360178741343,6,1e-05
13,cooperative,0.09868510711204292,0.0016482888876064618,0.10033339599964938,1.409666015949436,1.392847240819706,0.861773351979749,1.9407399047893932,-0.5310738888399569,-0.547892663969687,2.4440712928771973,0.9907703399658203,10.044254302978516,0.9742461442947388,0.001648246683869068,0.08537968034996309,0.08702792703383215,1.9468535297038976,2.044253349304199,0.9742461442947388,9.59157943725586,0.9558820128440857,0.9896569771563795,0.9897833215275228,0.3998539,0.45267433,0.002725360178741343,6,1e-05
14,cooperative,0.09168083925818507,0.0016482888876064618,0.09332912814579153,1.4045003624120318,1.392847240819706,0.8508014739328873,1.9465461292988504,-0.5420457668868186,-0.5536988884791445,2.427725076675415,0.9856655597686768,10.044254302978516,0.9742461442947388,0.001648246683869068,0.06916021675366515,0.07080846343753422,1.9777136402077353,2.044253349304199,0.9742461442947388,9.631718635559082,0.9635576009750366,0.9897770060544259,0.9903977972770849,0.38356057,0.4125346,0.002725360178741343,6,1e-05
15,cooperative,0.0804587473195513,0.0016482888876064618,0.08210703620715776,1.3955538606973774,1.392847240819706,0.8959638594804888,1.8924372420365942,-0.49688338133921706,-0.49959000121688857,2.3998007774353027,0.9768866300582886,10.044254302978516,0.9742461442947388,0.001648246683869068,0.06509016662679466,0.06673841331066373,1.8871413405965236,2.044253349304199,0.9742461442947388,9.640932083129883,0.9750994443893433,0.9886018855077355,0.9884798102599024,0.35809112,0.4033219,0.002725360178741343,6,1e-05
