epoch,phase,kl_div_1_fwd,kl_div_2_fwd,kl_div_total_fwd,entropy_x_fwd,entropy_y_fwd,joint_entropy_fwd,mutual_info_fwd,cond_entropy_x_given_y,cond_entropy_y_given_x,mu_1_fwd,sigma_1_fwd,mu_2_fwd,sigma_2_fwd,kl_div_1_bwd,kl_div_2_bwd,kl_div_total_bwd,mutual_info_bwd,mu_1_bwd,sigma_1_bwd,mu_2_bwd,sigma_2_bwd,corr_x2_to_x1,corr_x1_to_x2,mae_x2_to_x1,mae_x1_to_x2,best_kl_total,best_epoch,current_lr
1,warmup,2484.507008141031,0.001074857012003952,2484.508082998043,5.66312501507244,1.3941246640044973,7.057629257444498,-0.0003795783675606401,5.663504593440001,1.394504242372058,-8.979381561279297,69.69903564453125,10.030632972717285,0.975491464138031,0.0010748716190572966,2494.1068044461063,2494.1078793177253,0.0010857603712119968,2.0306334495544434,0.975491464138031,36.47382354736328,65.5493392944336,-0.0352299133288938,0.06452800511694433,49.376328,50.148327,inf,0,9.321382842509604e-06
2,warmup,0.44245993404461803,0.001074857012003952,0.44353479105662197,1.962628932709515,1.3941246640044973,3.315623339591961,0.041130257122051095,1.921498675587464,1.3529944068824462,2.0762012004852295,1.722351312637329,10.030632972717285,0.975491464138031,0.0010748716190572966,57.6167589541389,57.61783382575796,0.08365415762586537,2.0306334495544434,0.975491464138031,11.874358177185059,10.83912467956543,0.28426964422086565,0.39465475745844747,1.2732639,6.6048436,2489.307981157884,1,1.3930857874519849e-05
3,warmup,0.008513580483299824,0.001074857012003952,0.009588437495303775,1.3546940184238885,1.3941246640044973,2.3908233463306816,0.3579953360977042,0.9966986823261843,1.0361293279067931,2.0954720973968506,0.9377756714820862,10.030632972717285,0.975491464138031,0.0010748716190572966,0.27599566465487696,0.27707053627393424,0.3168249645868997,2.0306334495544434,0.975491464138031,9.924810409545898,1.5611467361450195,0.7157298528181666,0.6858639578982096,0.5392887,0.8390523,29.03068430840729,2,1.825224071702945e-05
4,warmup,0.00516157264599601,0.001074857012003952,0.006236429657999962,1.4874835543300673,1.3941246640044973,2.2400414997818148,0.6415667185527498,0.8459168357773175,0.7525579454517475,1.978050708770752,1.070948839187622,10.030632972717285,0.975491464138031,0.0010748716190572966,0.044906560880802526,0.04598143249985982,0.44178772632202357,2.0306334495544434,0.975491464138031,9.856138229370117,1.1913163661956787,0.8505213512158979,0.7665009283380918,0.45276684,0.49678555,0.143329486884619,3,2.286171574903969e-05
5,warmup,0.01723587695595287,0.001074857012003952,0.01831073396795682,1.5429259603454606,1.3941246640044973,2.184257758575539,0.7527928657744187,0.7901330945710416,0.6413317982300784,2.0319201946258545,1.1320016384124756,10.030632972717285,0.975491464138031,0.0010748716190572966,0.00011655990913475318,0.0011914315281920497,0.9938197111813869,2.0306334495544434,0.975491464138031,9.985321998596191,0.9970285892486572,0.882358361551598,0.929115398056704,0.41511488,0.2838451,0.026108931078929892,4,2.747119078104994e-05
6,warmup,0.011938526145167855,0.001074857012003952,0.013013383157171807,1.5198755916022753,1.3941246640044973,2.010636632521722,0.9033636230850508,0.6165119685172247,0.4907610409194467,2.045356512069702,1.106207013130188,10.030632972717285,0.975491464138031,0.0010748716190572966,9.505042782849155e-05,0.0011699220468857881,1.2043458480169793,2.0306334495544434,0.975491464138031,9.987342834472656,1.003868818283081,0.9144056180670881,0.9540686026027574,0.34642816,0.21613134,0.009751082748074435,5,3.179257362355954e-05
7,warmup,0.0009346225565142821,0.001074857012003952,0.002009479568518234,1.4491009263101076,1.3941246640044973,1.8047226730940684,1.0385029172205362,0.4105980090895711,0.35562174678396086,2.0035438537597656,1.030621886253357,10.030632972717285,0.975491464138031,0.0010748716190572966,0.00035513815483317196,0.0014300097738904685,1.6361235340023659,2.0306334495544434,0.975491464138031,10.020498275756836,0.9879806637763977,0.9353852865444947,0.98089484011134,0.28956422,0.14370063,0.007091652602028797,6,3.640204865556979e-05
8,warmup,5.6366931743362554e-05,0.001074857012003952,0.0011312239437473144,1.4130850074897068,1.3941246640044973,1.691517448291186,1.115692223203018,0.2973927842866888,0.27843244080147933,2.00666880607605,0.9941635727882385,10.030632972717285,0.975491464138031,0.0010748716190572966,0.001951856776968134,0.0030267283960254306,1.846079398985737,2.0306334495544434,0.975491464138031,10.060697555541992,0.9895417094230652,0.944899460080178,0.9874875511339014,0.25917146,0.12622511,0.0017197446712043513,7,4.072343149807938e-05
9,warmup,0.0033854561975298555,0.001074857012003952,0.0044603132095338074,1.3798845274989269,1.3941246640044973,1.5097906125063174,1.2642185789971068,0.1156659485018201,0.12990608500739054,2.061630964279175,0.9616987705230713,10.030632972717285,0.975491464138031,0.0010748716190572966,0.000571855328394752,0.0016467269474520485,1.9851314589329259,2.0306334495544434,0.975491464138031,10.008912086486816,0.9770211577415466,0.9593622238248716,0.9905398766954352,0.21508545,0.106390305,0.0017197446712043513,7,4.533290653008963e-05
10,cooperative,0.0018944216766785399,0.001074857012003952,0.002969278688682492,1.3826044701683275,1.3941246640044973,1.3225535894419647,1.4541755447308602,-0.07157107456253264,-0.06005088072636289,2.034804105758667,0.9643180966377258,10.030632972717285,0.975491464138031,0.0010748716190572966,0.00021556617444899728,0.0012904377935062938,2.209909925226189,2.0306334495544434,0.975491464138031,10.0051851272583,0.9858168363571167,0.972390583320119,0.9939756840683891,0.17779519,0.08640218,0.0017197446712043513,7,5e-06
11,cooperative,0.014209023239930674,0.001074857012003952,0.015283880251934626,1.4423190762644928,1.3941246640044973,1.436699648637691,1.399744091631299,0.04257498463319376,-0.005619427626801787,2.165249824523926,1.0236560106277466,10.030632972717285,0.975491464138031,0.0010748716190572966,0.01929742610647063,0.020372297725527927,1.658926880598314,2.0306334495544434,0.975491464138031,9.840062141418457,0.92044597864151,0.9691648128661209,0.9817545094903398,0.22442178,0.21257459,0.0017197446712043513,7,5e-06
12,cooperative,0.08042192017354813,0.001074857012003952,0.08149677718555208,1.4734227619968434,1.3941246640044973,1.4593018892677936,1.4082455367335474,0.06517722526329628,-0.014120872729049827,2.3933002948760986,1.0559958219528198,10.030632972717285,0.975491464138031,0.0010748716190572966,0.0868537433066292,0.0879286149256865,1.5958331512773472,2.0306334495544434,0.975491464138031,9.6165771484375,0.8867822289466858,0.9696927900339022,0.9792746522159181,0.37865204,0.41434407,0.0017197446712043513,7,5e-06
13,cooperative,0.06782452458625311,0.001074857012003952,0.06889938159825706,1.4705710992757828,1.3941246640044973,1.4530880548272764,1.4116077084530037,0.05896339082277913,-0.017483044448506346,2.3607337474823,1.0529887676239014,10.030632972717285,0.975491464138031,0.0010748716190572966,0.0698266308566501,0.0709015024757074,1.4812421504171758,2.0306334495544434,0.975491464138031,9.658313751220703,0.8949648141860962,0.9698990582866172,0.9738649731724615,0.34643474,0.37632886,0.0017197446712043513,7,5e-06
14,cooperative,0.08111311432816887,0.001074857012003952,0.08218797134017282,1.4907538858912357,1.3941246640044973,1.403672184026161,1.481206365869572,0.009547520021663702,-0.08708170186507469,2.3891005516052246,1.0744569301605225,10.030632972717285,0.975491464138031,0.0010748716190572966,0.08029754946148737,0.08137242108054467,1.4426587276875522,2.0306334495544434,0.975491464138031,9.624334335327148,0.9030098915100098,0.9738630799025981,0.9717379067064875,0.3750213,0.4094998,0.0017197446712043513,7,5e-06
15,cooperative,0.10098501008443218,0.001074857012003952,0.10205986709643614,1.4878774093730227,1.3941246640044973,1.435581256867117,1.446420816510403,0.0414565928626196,-0.0522961525059058,2.438192367553711,1.0713707208633423,10.030632972717285,0.975491464138031,0.0010748716190572966,0.09040845962474178,0.09148333124379908,1.4738353514433151,2.0306334495544434,0.975491464138031,9.601755142211914,0.896518886089325,0.9719528116345839,0.9734696234506732,0.41804188,0.4303484,0.0017197446712043513,7,5e-06
16,cooperative,0.07463309215757152,0.001074857012003952,0.07570794916957548,1.4853378330579863,1.3941246640044973,1.3875400298575264,1.4919224672049574,-0.006584634146970858,-0.09779780320045983,2.374225616455078,1.0686533451080322,10.030632972717285,0.975491464138031,0.0010748716190572966,0.07908884420904976,0.08016371582810705,1.5124946561100578,2.0306334495544434,0.975491464138031,9.635531425476074,0.8896309733390808,0.9744245664606387,0.9754684676444646,0.36231056,0.3982767,0.0017197446712043513,7,5e-06
17,cooperative,0.19932021915471593,0.001074857012003952,0.20039507616671987,1.504817317244051,1.3941246640044973,1.3537906508319157,1.5451513304166327,-0.04033401317258156,-0.15102666641213536,2.6188764572143555,1.0896742343902588,10.030632972717285,0.975491464138031,0.0010748716190572966,0.17076018538746038,0.1718350570065177,1.5367705432784475,2.0306334495544434,0.975491464138031,9.434611320495605,0.8973491191864014,0.9770377425803094,0.9766449738096179,0.5906515,0.5960222,0.0017197446712043513,7,5e-06
18,cooperative,0.12833157131323392,0.001074857012003952,0.12940642832523785,1.4859306621188864,1.3941246640044973,1.3358103184039842,1.5442450077193997,-0.05831434560051307,-0.15012034371490213,2.497265100479126,1.0692870616912842,10.030632972717285,0.975491464138031,0.0010748716190572966,0.11881102253729789,0.11988589415635519,1.5042757933130007,2.0306334495544434,0.975491464138031,9.54401969909668,0.880709707736969,0.9769955901523582,0.9750566900659092,0.47007734,0.48699883,0.0017197446712043513,7,5e-06
19,cooperative,0.08758991880937764,0.001074857012003952,0.08866477582138159,1.4806410112816757,1.3941246640044973,1.4044174782296865,1.4703481970564862,0.01029281422518924,-0.07622353305198915,2.4089527130126953,1.063645839691162,10.030632972717285,0.975491464138031,0.0010748716190572966,0.07757964596359987,0.07865451758265717,1.497982763969746,2.0306334495544434,0.975491464138031,9.627431869506836,0.9109825491905212,0.9732813960647757,0.974736674206104,0.3920891,0.40724736,0.0017197446712043513,7,5e-06
20,cooperative,0.13797056842977434,0.001074857012003952,0.13904542544177828,1.4986089451631093,1.3941246640044973,1.402405692065134,1.4903279171024728,0.008281028060636686,-0.09620325309797528,2.5123908519744873,1.082930088043213,10.030632972717285,0.975491464138031,0.0010748716190572966,0.12728311916764412,0.1283579907867014,1.4765218612130302,2.0306334495544434,0.975491464138031,9.518221855163574,0.8959765434265137,0.9743417937737815,0.9736137140739972,0.48764488,0.5128346,0.0017197446712043513,7,5e-06
