epoch,phase,kl_div_1_fwd,kl_div_2_fwd,kl_div_total_fwd,mutual_info_fwd,corr_x2_to_x1,corr_x1_to_x2,mae_x2_to_x1,mae_x1_to_x2,es_reward_mean_1,es_reward_mean_2,best_kl_total,best_epoch
1,warmup,0.011315576468099109,4.386504320377793e-05,0.011359441511302887,0.8889359246317303,0.9117787100146227,0.9467975404829586,0.35079297,0.24479406,0.0,0.0,inf,0
2,warmup,0.0024963310390178142,4.386504320377793e-05,0.002540196082221592,1.3365107180904408,0.9649324934376671,0.9805556620922189,0.21439737,0.13333201,0.0,0.0,0.008984078419528509,1
3,warmup,0.001027340470632208,4.386504320377793e-05,0.001071205513835986,1.7025649154511016,0.9832923556242751,0.9936275489761264,0.14880146,0.092645206,0.0,0.0,0.002303987979141409,2
4,warmup,0.00030963119439434555,4.386504320377793e-05,0.0003534962375981235,1.8842539883118807,0.9884126997244407,0.994957134253346,0.12220639,0.081848614,0.0,0.0,0.0007330199803683671,3
5,warmup,5.217633932670836e-05,4.386504320377793e-05,9.604138253048629e-05,2.065175757293768,0.991945014462269,0.9962887994323023,0.099812895,0.07570168,0.0,0.0,0.00024086961064375897,4
6,warmup,0.001725336719262483,4.386504320377793e-05,0.001769201762466261,2.2458486416424406,0.994394678176293,0.9974738236398745,0.09955735,0.060321137,0.0,0.0,0.00024086961064375897,4
7,warmup,0.00011388917902480783,4.386504320377793e-05,0.00015775422222858576,2.383002795165384,0.9957422849704903,0.9979764435439161,0.07570903,0.051923867,0.0,0.0,0.00024086961064375897,4
8,warmup,0.0001158473503553865,4.386504320377793e-05,0.00015971239355916443,2.5155657473612534,0.996735491520892,0.9982530121928633,0.06549694,0.050791144,0.0,0.0,0.0002083650379878935,7
9,warmup,6.818528093656363e-05,4.386504320377793e-05,0.00011205032414034156,2.5858777779804165,0.9971643523700703,0.9983287199561292,0.062082313,0.04707379,0.0,0.0,0.0002083650379878935,7
10,warmup,0.0031314229740053955,4.386504320377793e-05,0.0031752880172091734,2.651570986833632,0.9975139154946234,0.9987329663235208,0.08604955,0.05712108,-0.09098408414671819,-0.057115215125183263,9.213466942965885e-05,9
