epoch,phase,kl_div_1_fwd,kl_div_2_fwd,kl_div_total_fwd,entropy_x_fwd,entropy_y_fwd,joint_entropy_fwd,mutual_info_fwd,cond_entropy_x_given_y,cond_entropy_y_given_x,mu_1_fwd,sigma_1_fwd,mu_2_fwd,sigma_2_fwd,kl_div_1_bwd,kl_div_2_bwd,kl_div_total_bwd,mutual_info_bwd,mu_1_bwd,sigma_1_bwd,mu_2_bwd,sigma_2_bwd,corr_x2_to_x1,corr_x1_to_x2,mae_x2_to_x1,mae_x1_to_x2,best_kl_total,best_epoch,current_lr
1,warmup,0.23305641159012008,0.00506352515733946,0.23811993674745954,1.8199316531549012,1.3770465374170946,2.8736396299852784,0.3233385605867176,1.4965930925681838,1.0537079768303772,2.195277452468872,1.4933069944381714,10.081933975219727,0.9589733481407166,0.005063486088289243,0.012752869745090017,0.01781635583337926,0.5815069431471209,2.0819334983825684,0.9589733481407166,9.864710807800293,1.0605990886688232,0.6908427783380213,0.829507071676483,0.5724929,0.3769831,inf,0,9.321382842509604e-05
2,warmup,0.014607926812233427,0.00506352515733946,0.019671451969572887,1.5338784425651655,1.3770465374170946,1.926283168575203,0.9846418114070572,0.5492366311581085,0.3924047260100376,2.0254344940185547,1.121806025505066,10.081933975219727,0.9589733481407166,0.005063486088289243,0.008209237981266361,0.013272724069555604,1.6391893484417304,2.0819334983825684,0.9589733481407166,10.124077796936035,0.9774675965309143,0.9277511455305516,0.9810127568845686,0.32537436,0.14778315,0.12796814629041942,1,0.00013930857874519848
3,warmup,0.005325982743795782,0.00506352515733946,0.010389507901135242,1.40921218701734,1.3770465374170946,1.3377339478868429,1.4485247765475915,-0.03931258953025174,-0.07147823913049711,1.897706389427185,0.9903208017349243,10.081933975219727,0.9589733481407166,0.005063486088289243,0.002576704858470176,0.007640190946759419,2.1221589005180133,2.0819334983825684,0.9589733481407166,10.058310508728027,0.9705393314361572,0.9720722786501629,0.9928157736662123,0.24476358,0.093519956,0.016472088019564245,2,0.0001825224071702945
4,warmup,0.0023694334624105237,0.00506352515733946,0.007432958619749984,1.3704260225654756,1.3770465374170946,0.9760714604077245,1.7714010995748457,-0.4009750770093701,-0.3943545621577511,2.013436794281006,0.9526454210281372,10.081933975219727,0.9589733481407166,0.005063486088289243,0.003407093364938517,0.00847057945322776,2.4343280530918947,2.0819334983825684,0.9589733481407166,10.040292739868164,0.9494954943656921,0.9854571014108291,0.9961584588957558,0.14286578,0.07471454,0.00901484942394733,3,0.00022861715749039691
5,warmup,0.00566091508187145,0.00506352515733946,0.01072444023921091,1.3686131136083595,1.3770465374170946,0.7125979655116508,2.033061685513803,-0.6644485719054438,-0.6560151480967087,2.08013916015625,0.9509199261665344,10.081933975219727,0.9589733481407166,0.005063486088289243,0.009144574313003008,0.014208060401292251,2.553258471735711,2.0819334983825684,0.9589733481407166,10.120185852050781,0.9564815759658813,0.9914083667317412,0.9969729008796081,0.10178299,0.06666815,0.007951769036488872,4,0.0002747119078104994
6,warmup,0.0035202425456915404,0.00506352515733946,0.008583767703031,1.3765004841398012,1.3770465374170946,0.4126734698052723,2.3408735517516237,-0.9643730676118223,-0.9638270143345289,2.059483528137207,0.9584498405456543,10.081933975219727,0.9589733481407166,0.005063486088289243,0.0025327103131341233,0.007596196401423366,2.827332941813357,2.0819334983825684,0.9589733481407166,10.031379699707031,0.9551748037338257,0.9953671184652146,0.9982513995580649,0.07893481,0.061134923,0.007951769036488872,4,0.0003179257362355954
7,warmup,0.012112721289371572,0.00506352515733946,0.017176246446711032,1.3996161467908093,1.3770465374170946,0.46653532491624317,2.3101273592916605,-0.9105112125008514,-0.9330808218745661,2.153258800506592,0.980863094329834,10.081933975219727,0.9589733481407166,0.005063486088289243,0.008361603075130591,0.013425089163419834,2.8083202311529663,2.0819334983825684,0.9589733481407166,10.116708755493164,0.9608774781227112,0.9950725626475899,0.998183566025492,0.09845485,0.05431583,0.007951769036488872,4,0.00036402048655569786
8,warmup,0.004886333291998252,0.00506352515733946,0.009949858449337712,1.3665308143136072,1.3770465374170946,0.053878793221791454,2.68969855850891,-1.3231677441953031,-1.3126520210918158,2.0668320655822754,0.9489418864250183,10.081933975219727,0.9589733481407166,0.005063486088289243,0.005455257667624926,0.010518743755914169,2.9662271451091184,2.0819334983825684,0.9589733481407166,10.089868545532227,0.9625950455665588,0.9976966555018069,0.9986757914747516,0.054814406,0.03992129,0.007951769036488872,4,0.0004072343149807938
9,warmup,0.006318273589948485,0.00506352515733946,0.011381798747287945,1.3750235343533437,1.3770465374170946,0.03310349626263198,2.7189665755078063,-1.3439430411544626,-1.3419200380907117,2.0942866802215576,0.9570353031158447,10.081933975219727,0.9589733481407166,0.005063486088289243,0.004120710027176608,0.00918419611546585,3.123535813696397,2.0819334983825684,0.9589733481407166,10.075238227844238,0.9642966985702515,0.9978277566620403,0.9990334104168672,0.05260914,0.033562806,0.007951769036488872,4,0.0004533290653008963
10,cooperative,0.003169995695173025,0.00506352515733946,0.008233520852512485,1.3792420379778834,1.3770465374170946,-0.27064266373081125,3.026931239125789,-1.6476892011479058,-1.6498847017086946,2.057185173034668,0.9610810875892639,10.081933975219727,0.9589733481407166,0.005063486088289243,0.0031082450186711644,0.008171731106960407,3.2485664170963156,2.0819334983825684,0.9589733481407166,10.060304641723633,0.964302122592926,0.9988272739615628,0.9992473458464365,0.04303068,0.033898875,0.007951769036488872,4,5e-05
11,cooperative,0.8069083968472275,0.00506352515733946,0.8119719220045669,1.3570035205288633,1.3770465374170946,-0.16840072211485246,2.9024507800608106,-1.545447259531947,-1.5254042426437158,3.267458915710449,0.9399439692497253,10.081933975219727,0.9589733481407166,0.005063486088289243,0.6406023521131744,0.6456658382014636,3.0568938204156564,2.0819334983825684,0.9589733481407166,8.869589805603027,0.9591909646987915,0.9984955040549583,0.9988955233036261,1.1855252,1.2123443,0.007951769036488872,4,5e-05
12,cooperative,0.4326457578898437,0.00506352515733946,0.43770928304718315,1.2623032889623849,1.3770465374170946,-0.267458681136842,2.9068085075163217,-1.6445052185539366,-1.5297619700992269,2.9060733318328857,0.8550158739089966,10.081933975219727,0.9589733481407166,0.005063486088289243,0.3613708857750688,0.36643437186335803,3.1218683375513594,2.0819334983825684,0.9589733481407166,9.1526460647583,1.0490351915359497,0.998508569127612,0.9990301798221525,0.8241394,0.92928684,0.007951769036488872,4,5e-05
13,cooperative,0.30910049159033026,0.00506352515733946,0.3141640167476697,1.234436982014604,1.3770465374170946,-0.40769564066400044,3.0191791600956988,-1.784742178081095,-1.6421326226786044,2.746843099594116,0.8315186500549316,10.081933975219727,0.9589733481407166,0.005063486088289243,0.2580924315451243,0.2631559176334135,3.131523733796842,2.0819334983825684,0.9589733481407166,9.291648864746094,1.0860906839370728,0.9988089390913669,0.9990487371149902,0.6649092,0.79028517,0.007951769036488872,4,5e-05
14,cooperative,0.39284175068228705,0.00506352515733946,0.39790527583962654,1.2233073402378223,1.3770465374170946,-0.37090855747288254,2.9712624351277994,-1.7479550948899771,-1.5942158977107048,2.847477674484253,0.8223154544830322,10.081933975219727,0.9589733481407166,0.005063486088289243,0.3323820064858645,0.3374454925741538,3.1568916398764726,2.0819334983825684,0.9589733481407166,9.193818092346191,1.0873255729675293,0.9986890687377439,0.9990958176402653,0.765544,0.88811535,0.007951769036488872,4,5e-05
15,cooperative,0.4650545085867223,0.00506352515733946,0.4701180337440618,1.234203129068328,1.3770465374170946,-0.3944226603952461,3.0056723268806684,-1.7714691978123407,-1.628625789463574,2.932490348815918,0.8313242197036743,10.081933975219727,0.9589733481407166,0.005063486088289243,0.3888497062210703,0.3939131923093595,3.093888876370176,2.0819334983825684,0.9589733481407166,9.124947547912598,1.0783767700195312,0.9987763057613798,0.998974333931716,0.8505564,0.9569856,0.007951769036488872,4,5e-05
